sample_id,dish_name,path,type,bands,height,width,valid_pixels,source_roi_name,has_microplastic,total_microplastic_area_pixels,total_microplastic_area_ratio,total_count,total_component_max_area,total_component_mean_area,soil_area_pixels,soil_area_ratio,soil_count,soil_component_max_area,soil_component_mean_area,soil_spectral_mean,soil_spectral_std,soil_pixel_spectral_std_mean,soil_band_48_mean,soil_band_48_std,soil_band_116_mean,soil_band_116_std,soil_band_183_mean,soil_band_183_std,pp_area_pixels,pp_area_ratio,pp_count,pp_component_max_area,pp_component_mean_area,pp_spectral_mean,pp_spectral_std,pp_pixel_spectral_std_mean,pp_band_48_mean,pp_band_48_std,pp_band_116_mean,pp_band_116_std,pp_band_183_mean,pp_band_183_std,pet_area_pixels,pet_area_ratio,pet_count,pet_component_max_area,pet_component_mean_area,pet_spectral_mean,pet_spectral_std,pet_pixel_spectral_std_mean,pet_band_48_mean,pet_band_48_std,pet_band_116_mean,pet_band_116_std,pet_band_183_mean,pet_band_183_std,ps_area_pixels,ps_area_ratio,ps_count,ps_component_max_area,ps_component_mean_area,ps_spectral_mean,ps_spectral_std,ps_pixel_spectral_std_mean,ps_band_48_mean,ps_band_48_std,ps_band_116_mean,ps_band_116_std,ps_band_183_mean,ps_band_183_std,pp_proxy_percent,pet_proxy_percent,ps_proxy_percent,total_proxy_percent
S1-S6_2_FX10FX17_2026_06_25_14_31_42_S5,S5,microplastic/S1-S6_2_2026_06_25_14_31_42/Merged/S1-S6_2_FX10FX17_2026_06_25_14_31_42_S5.npz,roi,633,469,469,172789,S5,0,0,0.0,0,0,0.0,172789,1.0,0,0,0.0,0.4141542911529541,0.11539553105831146,0.1384136825799942,0.20913031697273254,0.11168823391199112,0.2612588107585907,0.11385302990674973,0.33603063225746155,0.11842799186706543,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S1-S6_2_FX10FX17_2026_06_25_14_31_42_S6,S6,microplastic/S1-S6_2_2026_06_25_14_31_42/Merged/S1-S6_2_FX10FX17_2026_06_25_14_31_42_S6.npz,roi,633,469,469,172789,S6,0,0,0.0,0,0,0.0,172789,1.0,0,0,0.0,0.3440856337547302,0.0869188979268074,0.12956826388835907,0.17971402406692505,0.14063628017902374,0.22931529581546783,0.14035634696483612,0.2946111857891083,0.1335551142692566,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S1-S6_3_FX10FX17_2026_06_25_14_39_30_S1,S1,microplastic/S1-S6_3_2026_06_25_14_39_30/Merged/S1-S6_3_FX10FX17_2026_06_25_14_39_30_S1.npz,roi,633,469,469,172789,S1,0,0,0.0,0,0,0.0,172789,1.0,0,0,0.0,0.30472925305366516,0.07039070129394531,0.14870040118694305,0.17412999272346497,0.15705624222755432,0.2145920693874359,0.15948188304901123,0.26427263021469116,0.15301771461963654,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S1-S6_3_FX10FX17_2026_06_25_14_39_30_S2,S2,microplastic/S1-S6_3_2026_06_25_14_39_30/Merged/S1-S6_3_FX10FX17_2026_06_25_14_39_30_S2.npz,roi,633,469,469,172789,S2,0,0,0.0,0,0,0.0,172789,1.0,0,0,0.0,0.37037256360054016,0.09227844327688217,0.13350124657154083,0.19542992115020752,0.11955919116735458,0.24826538562774658,0.12048626691102982,0.3176400363445282,0.11891080439090729,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S1-S6_3_FX10FX17_2026_06_25_14_39_30_S3,S3,microplastic/S1-S6_3_2026_06_25_14_39_30/Merged/S1-S6_3_FX10FX17_2026_06_25_14_39_30_S3.npz,roi,633,469,469,172789,S3,0,0,0.0,0,0,0.0,172789,1.0,0,0,0.0,0.3481268584728241,0.08586465567350388,0.14268486201763153,0.1834183931350708,0.13745146989822388,0.23693443834781647,0.14017291367053986,0.30208829045295715,0.14017146825790405,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S1-S6_3_FX10FX17_2026_06_25_14_39_30_S4,S4,microplastic/S1-S6_3_2026_06_25_14_39_30/Merged/S1-S6_3_FX10FX17_2026_06_25_14_39_30_S4.npz,roi,633,469,469,172789,S4,0,0,0.0,0,0,0.0,172789,1.0,0,0,0.0,0.30958738923072815,0.06649868935346603,0.1401902586221695,0.17894192039966583,0.14750470221042633,0.22182360291481018,0.14860570430755615,0.2759712040424347,0.1434955894947052,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S1-S6_3_FX10FX17_2026_06_25_14_39_30_S5,S5,microplastic/S1-S6_3_2026_06_25_14_39_30/Merged/S1-S6_3_FX10FX17_2026_06_25_14_39_30_S5.npz,roi,633,469,469,172789,S5,0,0,0.0,0,0,0.0,172789,1.0,0,0,0.0,0.3966791331768036,0.11060303449630737,0.14166490733623505,0.19809691607952118,0.1109987124800682,0.25169292092323303,0.11295545101165771,0.32383424043655396,0.11791598796844482,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S1-S6_3_FX10FX17_2026_06_25_14_39_30_S6,S6,microplastic/S1-S6_3_2026_06_25_14_39_30/Merged/S1-S6_3_FX10FX17_2026_06_25_14_39_30_S6.npz,roi,633,469,469,172789,S6,0,0,0.0,0,0,0.0,172789,1.0,0,0,0.0,0.38753753900527954,0.10443597286939621,0.12829288840293884,0.19230757653713226,0.12499048560857773,0.24943839013576508,0.12450218200683594,0.3259543776512146,0.11907238513231277,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S1_S4_S7_S10_FX10FX17_2026_06_30_14_54_02_S1,s1,microplastic/S1_S4_S7_S10_2026_06_30_14_54_02/Merged/S1_S4_S7_S10_FX10FX17_2026_06_30_14_54_02_S1.npz,roi,633,469,469,172789,s1,1,9056,0.05241074373947416,9,1626,1006.2222222222222,163733,0.9475892562605258,0,0,0.0,0.32185986638069153,0.0735185295343399,0.14717072248458862,0.18550285696983337,0.14805643260478973,0.22834424674510956,0.15235868096351624,0.280486136674881,0.1480960249900818,9056,0.05241074373947416,9,1626,1006.2222222222222,0.37129339575767517,0.06806015223264694,0.1316259503364563,0.28404536843299866,0.113850437104702,0.3221169710159302,0.12408357113599777,0.3588263988494873,0.1286569982767105,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.2410743739474155,0.0,0.0,5.2410743739474155
S1_S4_S7_S10_FX10FX17_2026_06_30_14_54_02_S10,s10,microplastic/S1_S4_S7_S10_2026_06_30_14_54_02/Merged/S1_S4_S7_S10_FX10FX17_2026_06_30_14_54_02_S10.npz,roi,633,469,469,172789,s10,0,0,0.0,0,0,0.0,172789,1.0,0,0,0.0,0.35754722356796265,0.060126617550849915,0.18379850685596466,0.2399156540632248,0.21767234802246094,0.2803431451320648,0.21472065150737762,0.32848188281059265,0.2002350240945816,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
