Using device: cuda
Train samples: 26
Val samples: 8
Input channels: 633
Epoch 068 | train loss=0.9354, train IoU=0.1653 | val loss=1.0010, val IoU=0.0000
Epoch 069 | train loss=0.9349, train IoU=0.1661 | val loss=1.0010, val IoU=0.0000
Epoch 070 | train loss=0.9352, train IoU=0.1638 | val loss=1.0010, val IoU=0.0000
Epoch 071 | train loss=0.9351, train IoU=0.1664 | val loss=1.0009, val IoU=0.0000
Epoch 072 | train loss=0.9351, train IoU=0.1629 | val loss=1.0009, val IoU=0.0000
Epoch 073 | train loss=0.9347, train IoU=0.1673 | val loss=1.0009, val IoU=0.0000
Epoch 074 | train loss=0.9346, train IoU=0.1630 | val loss=1.0008, val IoU=0.0000
Epoch 075 | train loss=0.9344, train IoU=0.1679 | val loss=1.0009, val IoU=0.0000
Epoch 076 | train loss=0.9357, train IoU=0.1613 | val loss=1.0008, val IoU=0.0000
Epoch 077 | train loss=0.9379, train IoU=0.1858 | val loss=1.0009, val IoU=0.0000
Epoch 078 | train loss=0.9370, train IoU=0.1587 | val loss=1.0008, val IoU=0.0000
Epoch 079 | train loss=0.9348, train IoU=0.1004 | val loss=1.0008, val IoU=0.0000
Epoch 080 | train loss=0.9351, train IoU=0.1583 | val loss=1.0007, val IoU=0.0000
Epoch 081 | train loss=0.9340, train IoU=0.1667 | val loss=1.0008, val IoU=0.0000
Epoch 082 | train loss=0.9346, train IoU=0.1614 | val loss=1.0007, val IoU=0.0000
Epoch 083 | train loss=0.9356, train IoU=0.1951 | val loss=1.0008, val IoU=0.0000
Epoch 084 | train loss=0.9348, train IoU=0.1626 | val loss=1.0007, val IoU=0.0000
Epoch 085 | train loss=0.9340, train IoU=0.1686 | val loss=1.0008, val IoU=0.0000
Epoch 086 | train loss=0.9356, train IoU=0.1551 | val loss=1.0007, val IoU=0.0000
Epoch 087 | train loss=0.9362, train IoU=0.1931 | val loss=1.0008, val IoU=0.0000
Epoch 088 | train loss=0.9386, train IoU=0.0901 | val loss=1.0007, val IoU=0.0000
Epoch 089 | train loss=0.9347, train IoU=0.1317 | val loss=1.0007, val IoU=0.0000
Epoch 090 | train loss=0.9346, train IoU=0.1602 | val loss=1.0006, val IoU=0.0000
Epoch 091 | train loss=0.9335, train IoU=0.1678 | val loss=1.0006, val IoU=0.0000
Epoch 092 | train loss=0.9335, train IoU=0.1617 | val loss=1.0006, val IoU=0.0000
Epoch 093 | train loss=0.9328, train IoU=0.1690 | val loss=1.0006, val IoU=0.0000
Epoch 094 | train loss=0.9332, train IoU=0.1641 | val loss=1.0006, val IoU=0.0000
Epoch 095 | train loss=0.9327, train IoU=0.2047 | val loss=1.0006, val IoU=0.0000
Epoch 096 | train loss=0.9327, train IoU=0.1660 | val loss=1.0005, val IoU=0.0000
Epoch 097 | train loss=0.9326, train IoU=0.1697 | val loss=1.0006, val IoU=0.0000
Epoch 098 | train loss=0.9328, train IoU=0.1640 | val loss=1.0005, val IoU=0.0000
Epoch 099 | train loss=0.9345, train IoU=0.1995 | val loss=1.0005, val IoU=0.0000
Epoch 100 | train loss=0.9352, train IoU=0.1576 | val loss=1.0005, val IoU=0.0000
Epoch 101 | train loss=0.9356, train IoU=0.1298 | val loss=1.0005, val IoU=0.0000
Epoch 102 | train loss=0.9344, train IoU=0.1593 | val loss=1.0007, val IoU=0.0000
Epoch 103 | train loss=0.9392, train IoU=0.1510 | val loss=1.0023, val IoU=0.0000
Epoch 104 | train loss=0.9400, train IoU=0.1166 | val loss=1.0007, val IoU=0.0000
Epoch 105 | train loss=0.9370, train IoU=0.1257 | val loss=1.0009, val IoU=0.0000
Epoch 106 | train loss=0.9369, train IoU=0.1606 | val loss=1.0006, val IoU=0.0000
